city,weather_main,weather_description,occurrence_count,percentage
Bydgoszcz,Clear,clear sky,466,100
Poznan,Clear,clear sky,381,81.58
Poznan,Clouds,scattered clouds,70,14.99
Poznan,Clouds,broken clouds,16,3.43
Warsaw,Clear,clear sky,382,81.8
Warsaw,Clouds,few clouds,29,6.21
Warsaw,Clouds,broken clouds,18,3.85
Warsaw,Clouds,scattered clouds,38,8.14
Szczecin,Clouds,broken clouds,58,12.42
Szczecin,Clouds,overcast clouds,409,87.58
Bialystok,Clouds,overcast clouds,454,97.22
Bialystok,Clouds,scattered clouds,13,2.78
Krakow,Clouds,few clouds,113,24.2
Krakow,Clouds,scattered clouds,139,29.76
Krakow,Clear,clear sky,215,46.04
Lublin,Clouds,broken clouds,99,21.2
Lublin,Clouds,few clouds,160,34.26
Lublin,Clouds,overcast clouds,52,11.13
Lublin,Clouds,scattered clouds,156,33.4
Gdansk,Clouds,broken clouds,378,80.94
Gdansk,Clear,clear sky,65,13.92
Gdansk,Clouds,few clouds,24,5.14
Lodz,Clear,clear sky,335,71.73
Lodz,Clouds,few clouds,20,4.28
Lodz,Clouds,scattered clouds,112,23.98
Wroclaw,Clear,clear sky,355,76.02
Wroclaw,Clouds,overcast clouds,50,10.71
Wroclaw,Clouds,few clouds,17,3.64
Wroclaw,Clouds,broken clouds,45,9.64
